,Latitude,Longitude
0,34.07228,-118.08451
1,34.03853,-118.22796
2,34.27184,-118.47214
3,34.04039,-118.88558
4,34.06066,-118.24938
5,34.1555,-118.33631
6,33.88414,-118.02911
7,34.05393,-118.25034
8,33.76684,-118.21046
9,34.06169,-118.31115
10,34.06195,-118.32914
11,34.054907,-118.251555
12,34.05659,-118.23184
13,34.15457,-118.31387
14,34.03645,-118.22923
15,34.010429,-118.413275
16,34.03903,-118.24
17,33.94298,-118.4057
18,34.261727,-118.439961
19,34.20403,-117.80879
20,33.94348,-118.40801
21,33.85585,-118.02471
22,33.70176,-117.95255
23,34.070282,-117.864295
24,33.95407,-118.28048
25,34.313625,-117.837822
26,33.94312,-118.13768
27,34.24899,-118.42711
28,33.959704,-117.917185
29,33.75814,-118.11124
30,33.859914,-118.29918
31,34.04921,-118.23915
32,34.0557,-118.24878
33,33.97635,-117.9693
34,34.04929,-118.24174
35,33.951999,-118.370196
36,33.94938,-118.38654
37,34.19169,-118.32636
38,34.15526,-118.2939
39,33.7826,-118.15242
40,34.067097,-118.397413
41,34.05678,-118.25289
42,33.74329,-117.84062
43,33.97586,-118.41174
44,34.09713,-118.80511
45,33.73704,-117.99394
46,33.95751,-118.44912
47,33.94355,-118.40802
48,33.76653,-118.21368
49,34.21756,-118.47335
50,33.65155,-117.86219
51,34.07218,-118.09283
52,34.00796,-118.15757
53,34.03783,-118.27947
54,33.85151,-118.27774
55,33.99596,-117.90037
56,34.06808,-118.0321
57,34.04783,-118.22775
58,34.0948,-117.9879
59,33.76231,-118.13963
60,34.14167,-118.26918
61,33.70179,-117.94564
62,34.013551,-118.415712
63,33.945512,-118.33983
64,34.35703,-117.85057
65,34.27212,-118.49032
66,33.94342,-118.398
67,34.06705,-118.39595
68,34.17458,-118.09818
69,33.75861,-118.19998
70,33.87688,-118.15531
71,34.013496,-118.41567
72,33.8698,-118.28569
73,34.03853,-118.23054
74,33.76209,-118.02611
75,33.87792,-118.01643
76,34.06086,-118.36032
77,33.878483,-118.343807
78,33.99931,-117.87132
79,33.847431,-117.919359
80,33.75539,-118.01775
81,33.9101,-118.37057
82,34.052592,-118.226617
83,33.94942,-118.38594
84,33.9438,-118.40575
85,33.88269,-118.02885
86,33.68819,-117.90793
87,33.76967,-118.17296
88,33.77883,-118.20779
89,33.88306,-118.0277
90,34.1855,-118.318
91,33.77732,-118.20753
92,34.15593,-118.33652
93,34.05869,-118.41584
94,33.93284,-118.09033
95,34.01587,-118.49266
96,34.11442,-118.77873
97,33.76724,-118.20545
98,34.04089,-117.68085
99,34.0429,-117.84771
100,34.08861,-118.87647
101,34.0617,-118.30785
102,33.73909,-117.99825
103,34.11429,-118.77964
104,33.95823,-118.45059
105,34.02498,-117.73514
106,34.03713,-118.22032
107,33.76683,-117.8673
108,33.8524,-117.97273
109,34.05893,-118.25256
110,34.05484,-118.25291
111,33.95767,-118.44976
112,34.06126,-118.24465
113,34.04899,-118.23813
114,34.04898,-118.23813
115,34.0618,-118.25975
116,34.07104,-117.88056
117,34.04361,-118.30414
118,34.0557,-118.24878
119,34.06274,-118.3593
120,33.88184,-118.19171
121,34.06287,-118.36059
122,34.09523,-118.32882
123,34.16055,-118.38089
124,34.04852,-118.23393
125,34.06205,-118.25969
126,33.761,-118.19879
127,33.68735,-117.88567
128,34.06093,-118.36136
129,34.061341,-118.258692
130,33.80952,-118.15763
131,34.23271,-118.47319
132,34.19617,-118.40286
133,34.06103,-118.24339
134,34.02935,-118.20087
135,33.9466,-118.370201
136,33.80391,-118.22081
137,34.00223,-117.94879
138,34.00315,-117.83135
139,33.68744,-117.90771
140,34.05597,-118.2386
141,33.728327,-117.808208
142,33.86525,-118.28535
143,34.432549,-118.385801
144,34.04303,-117.84782
145,33.949093,-118.343766
146,33.98495,-118.13423
147,33.89801,-118.05468
148,33.77408,-118.24035
149,34.022981,-118.346026
150,33.94414,-118.40166
151,34.013551,-118.415712
152,34.18688,-118.31983
153,34.0303,-117.65524
154,33.9833,-117.60684
155,34.03903,-118.24
156,34.044272,-118.220934
157,34.13504,-117.62101
158,34.153197,-118.367553
159,34.01287,-118.41716
160,33.94603,-118.33983
161,33.94341,-118.39827
162,34.0515,-118.24243
163,34.05311,-118.24776
164,34.06888,-117.86205
165,34.0617,-118.30783
166,34.07135,-117.86687
167,33.948818,-118.046348
168,33.86214,-118.31807
169,34.05006,-118.25927
170,34.06792,-117.83684
171,33.92965,-118.22572
172,34.002263,-118.078493
173,34.26601,-118.45006
174,34.18418,-118.31579
175,33.945495,-118.398734
176,34.06123,-118.24172
177,33.996013,-117.906063
178,33.866281,-117.717137
179,34.11199,-118.26545
180,34.07145,-117.86819
181,34.01133,-118.16113
182,34.03235,-118.26289
183,34.15439,-118.38286
184,34.05539,-118.18747
185,33.94419,-117.67193
186,34.04263,-117.84879
187,34.05072,-118.26027
188,34.27422,-118.54689
189,33.99934,-117.87118
190,34.04784,-117.85018
191,33.75901,-118.23873
192,33.85444,-117.79576
193,33.996831,-117.931031
194,33.67796,-117.88107
195,33.76569,-117.97237
196,33.88275,-118.02776
197,34.054802,-118.252773
198,33.71819,-117.9693
199,34.0554,-118.1992
200,34.0557,-118.24877
201,34.10165,-118.32239
202,34.13565,-117.96539
203,34.04356,-118.31011
204,33.7741,-118.200591
205,33.944805,-118.405851
206,33.77368,-118.2405
207,34.17853,-118.11207
208,33.752982,-118.123101
209,34.23606,-117.66003
210,33.988419,-118.405107
211,34.15782,-118.12146
212,33.75693,-118.12304
213,33.75516,-118.12345
214,33.87643,-118.11536
215,33.77016,-118.17652
216,34.00749,-118.17231
217,34.067266,-118.397542
218,34.06966,-118.04561
219,34.05512,-118.2545
220,34.18731,-118.32168
221,33.752756,-118.123087
222,34.352329,-117.851499
223,34.06707,-118.39919
224,34.02427,-117.74465
225,34.04685,-117.8404
226,33.73743,-117.99791
227,34.054636,-118.251462
228,34.02558,-118.20587
229,34.43322,-118.388
230,34.01953,-118.18008
231,33.93523,-118.09055
232,33.94347,-118.40801
233,34.03825,-118.23271
234,33.86538,-118.19739
235,33.87512,-118.01139
236,34.14687,-118.16117
237,33.75643,-118.12013
238,34.00362,-118.33197
239,34.06358,-117.8176
240,33.95703,-118.4485
241,33.77066,-117.86746
242,34.09851,-118.31466
243,34.02446,-118.27604
244,33.95355,-118.13005
245,34.04186,-118.23276
246,33.90388,-118.18512
247,34.09206,-118.2407
248,33.872132,-117.686929
249,34.05522,-118.25107
250,33.9491,-118.34227
251,33.94068,-118.36825
252,34.03854,-118.22801
253,34.023364,-118.473809
254,34.03567,-118.21871
255,33.91387,-117.88272
256,33.93684,-118.2797
257,34.01587,-118.49266
258,34.0581,-118.23709
259,33.75703,-118.11509
260,34.10709,-118.05803
261,34.09937,-117.81923
262,33.78718,-117.8857
263,33.96556,-117.95762
264,33.84858,-118.34517
265,34.05102,-118.24453
266,34.356884,-117.851021
267,33.7826,-118.15242
268,34.06151,-118.43369
269,34.00517,-118.17413
270,33.9751,-118.41445
271,34.061372,-117.787478
272,34.039903,-117.928825
273,33.94627,-117.61102
274,33.80772,-117.83203
275,34.19178,-118.32886
276,34.19208,-118.32929
277,34.06034,-118.41357
278,34.10681,-118.79194
279,34.1073,-118.05657
280,34.00473,-118.17285
281,33.70875,-117.96305
282,34.03876,-117.84143
283,34.06319,-118.24083
284,34.03837,-118.22941
285,33.84858,-118.34534
286,33.89869,-118.1873
287,34.05776,-118.44775
288,33.76067,-118.23122
289,34.10466,-118.25886
290,33.941012,-118.096595
291,34.06205,-118.33465
292,34.26576,-118.45618
293,34.13724,-118.2667
294,33.92769,-118.26804
295,34.00949,-118.41449
296,34.04956,-118.23186
297,33.97566,-118.33089
298,33.77218,-118.20712
299,34.02742,-118.45792
300,34.01834,-118.28013
301,34.00829,-117.96856
302,33.95932,-118.38722
303,34.15338,-118.36461
304,34.10172,-118.31366
305,34.03778,-118.28147